,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,ann_vol
S&P 500,2427.0,0.05348387012839532,1.1379104298104032,-12.765214115647325,-0.3758905505868364,0.07580943491275485,0.5810583696694418,9.089490164871481,-0.6999194854136885,17.393350405741486,18.063768069269678
EURO STOXX 50,2427.0,0.039523099094163024,1.2097260074904113,-13.177276778887837,-0.5096629549322066,0.07570962808742361,0.6366738751519567,9.511119098874188,-0.8182500700126227,12.07710619963468,19.203805022080132
Nikkei 225,2427.0,0.02273282471745582,1.3665816175945462,-13.234078012004261,-0.6105814085489434,0.05951094675123791,0.709910939709258,9.736555829054742,-0.3317686702708563,8.776566583939378,21.69381063856524
FTSE 100,2427.0,0.026701556982889237,0.9725959325170468,-11.512428334613645,-0.41871857230030807,0.06747450026688191,0.5256693723377395,8.666806527666653,-0.9673412946701393,15.112011684313835,15.439481781558388
