index,order,dist,omega,alpha,beta,persistence_alpha_plus_beta,aic,bic,loglik,nu,alpha[1],beta[1]
S&P 500,"GARCH(1, 1)",t,0.012718730060190206,0.06524799409458616,0.9219183735277126,0.9871663676222987,5939.3855250328925,5962.168556995111,-2965.6927625164462,106.60368781976611,0.06524799409458616,0.9219183735277126
EURO STOXX 50,"GARCH(1, 1)",t,0.03467753883725255,0.10760644470791134,0.8457007507246029,0.9533071954325143,5381.966663556291,5404.74969551851,-2686.9833317781454,55.656332298626836,0.10760644470791134,0.8457007507246029
Nikkei 225,"GARCH(1, 1)",t,0.0391932199574951,0.1114017090464419,0.852030364064812,0.9634320731112539,6078.987551851723,6101.770583813942,-3035.4937759258614,83.95407724102267,0.1114017090464419,0.852030364064812
FTSE 100,"GARCH(1, 1)",t,0.021296992587822104,0.09419446435712406,0.8791038553680608,0.9732983197251849,5363.153624399136,5385.936656361355,-2677.576812199568,26.866811609144122,0.09419446435712406,0.8791038553680608
