,forecast_vol
2023-06-08,0.882635506957847
2023-06-09,0.8841461088891145
2023-06-12,0.8856348163899448
2023-06-13,0.8871019869528506
2023-06-14,0.8885479709606614
2023-06-15,0.8899731118697559
2023-06-16,0.891377746387158
2023-06-19,0.8927622046417524
2023-06-20,0.894126810349864
2023-06-21,0.8954718809754326
2023-06-22,0.896797727885001
2023-06-23,0.8981046564977272
2023-06-26,0.8993929664306195
2023-06-27,0.9006629516391848
2023-06-28,0.9019149005536689
2023-06-29,0.9031490962110632
2023-06-30,0.904365816383041
2023-07-03,0.9055653336999793
2023-07-04,0.9067479157712169
2023-07-05,0.907913825301691
2023-07-06,0.909063320205086
2023-07-07,0.9101966537136296
2023-07-10,0.9113140744846552
2023-07-11,0.9124158267040522
2023-07-12,0.9135021501867169
2023-07-13,0.9145732804741129
2023-07-14,0.9156294489290444
2023-07-17,0.9166708828277423
2023-07-18,0.9176978054493575
2023-07-19,0.9187104361629528
