index,order,dist,omega,alpha,beta,persistence_alpha_plus_beta,aic,bic,loglik,alpha[1],beta[1]
S&P 500,"GARCH(1, 1)",normal,0.04893392667790358,0.18200786052268617,0.7775220076362465,0.9595298681589326,6342.204494725938,6359.587728343118,-3168.102247362969,0.18200786052268617,0.7775220076362465
EURO STOXX 50,"GARCH(1, 1)",normal,0.07811047279077857,0.1677221003629741,0.7787078872937634,0.9464299876567375,7086.065992591506,7103.449226208686,-3540.032996295753,0.1677221003629741,0.7787078872937634
Nikkei 225,"GARCH(1, 1)",normal,0.1122739854079322,0.17015334151877123,0.7723931347443351,0.9425464762631064,7794.270360995119,7811.653594612299,-3894.1351804975593,0.17015334151877123,0.7723931347443351
FTSE 100,"GARCH(1, 1)",normal,0.06756826653232173,0.18527391853741237,0.7356780094488333,0.9209519279862457,5930.678919532929,5948.062153150109,-2962.3394597664646,0.18527391853741237,0.7356780094488333
