index,aic_normal,aic_student_t,bic_normal,bic_student_t,nu,t_preferred_by_aic
S&P 500,5936.361108766485,5939.3855250328925,5953.448382738149,5962.168556995111,106.60368781976611,False
EURO STOXX 50,5381.515437229225,5381.966663556291,5398.60271120089,5404.74969551851,55.656332298626836,False
Nikkei 225,6077.133991933299,6078.987551851723,6094.221265904963,6101.770583813942,83.95407724102267,False
FTSE 100,5365.802426104832,5363.153624399136,5382.889700076496,5385.936656361355,26.866811609144122,True
