index,omega,alpha_arch,beta_garch,persistence_alpha_plus_beta,half_life_days,aic,bic
S&P 500,0.052113917030381006,0.1611408197802127,0.7985567544477852,0.9596975742279978,16.84969697046622,6012.828476756151,6035.569451188054
EURO STOXX 50,0.08679599253590448,0.1700132263816621,0.7667247941779566,0.9367380205596187,10.606425330825301,6269.196604722971,6291.932060643996
FTSE 100,0.06508408998157891,0.17582370383944707,0.7479639969179548,0.9237877007574018,8.743799601532375,5330.755687479447,5353.515002154393
Nikkei 225,0.14695954316956542,0.1562128154559286,0.7637785320243848,0.9199913474803134,8.312012867772037,6907.923944913443,6930.545507492748
